output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 3.96.129.74:6042 -c 16.170.11.208:6042 --shardId 0 --nodeId 2 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-30T02:50:55Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 2, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..719d in shard 0
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..719d in shard 0
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..719d in shard 0: insertion fails: Block already exits
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T03:03:00Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T03:03:00Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T03:03:00Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T03:03:01Z INFO  bitcoin::manifoldchain::blockchain] block get verified
