
================================================================================
 PYTHON LIST FORMAT
================================================================================
download_blocks = [
    0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03
]

====================================================================================================
 READABLE SUMMARY TABLE (Sorted by Node ID)
====================================================================================================
ID    | Node IP          | Bandwidth  | Runs (Rx)  | Avg Blocks   | Avg T-put (A/s)
----------------------------------------------------------------------------------------------------
0     | 52.56.166.65     | 10         | 10         | 2.0          | 0.03           
1     | 34.234.207.126   | 10         | 10         | 2.0          | 0.03           
2     | 52.193.99.38     | 10         | 10         | 2.0          | 0.03           
3     | 18.230.26.43     | 10         | 10         | 2.0          | 0.03           
4     | 13.42.14.129     | 10         | 10         | 2.0          | 0.03           
5     | 3.219.234.162    | 10         | 10         | 2.0          | 0.03           
6     | 44.203.205.216   | 10         | 9          | 2.0          | 0.03           
7     | 13.220.129.254   | 10         | 10         | 2.0          | 0.03           
8     | 44.200.197.12    | 10         | 10         | 2.0          | 0.03           
9     | 54.250.159.132   | 10         | 10         | 2.0          | 0.03           
10    | 35.179.116.19    | 10         | 9          | 2.0          | 0.03           
11    | 18.183.75.132    | 10         | 8          | 2.0          | 0.03           
12    | 3.8.151.11       | 10         | 10         | 2.0          | 0.03           
13    | 3.10.228.203     | 10         | 10         | 2.0          | 0.03           
14    | 57.180.247.226   | 10         | 10         | 2.0          | 0.03           
15    | 13.42.9.217      | 10         | 10         | 2.0          | 0.03           
16    | 3.8.163.92       | 10         | 10         | 2.0          | 0.03           
17    | 13.114.61.185    | 10         | 10         | 2.0          | 0.03           
18    | 52.67.138.154    | 10         | 10         | 2.0          | 0.03           
19    | 54.238.213.110   | 10         | 10         | 2.0          | 0.03           
20    | 18.231.198.163   | 10         | 10         | 2.0          | 0.03           
21    | 18.230.151.126   | 10         | 10         | 2.0          | 0.03           
22    | 3.8.197.92       | 10         | 10         | 2.0          | 0.03           
23    | 3.235.51.165     | 10         | 10         | 2.0          | 0.03           
24    | 52.67.178.30     | 10         | 10         | 2.0          | 0.03           
25    | 18.130.179.86    | 10         | 10         | 2.0          | 0.03           
26    | 54.238.241.114   | 10         | 10         | 2.0          | 0.03           
27    | 18.230.76.91     | 10         | 10         | 2.0          | 0.03           
28    | 18.175.250.35    | 10         | 10         | 2.0          | 0.03           
29    | 18.183.217.104   | 10         | 10         | 2.0          | 0.03           
30    | 18.231.36.32     | 10         | 10         | 2.0          | 0.03           
31    | 35.171.203.150   | 10         | 10         | 2.0          | 0.03           
32    | 54.147.89.91     | 10         | 10         | 2.0          | 0.03           
33    | 18.231.110.223   | 10         | 10         | 2.0          | 0.03           
34    | 15.228.100.151   | 10         | 9          | 2.0          | 0.03           
35    | 18.215.189.60    | 10         | 10         | 2.0          | 0.03           
36    | 54.248.46.168    | 10         | 10         | 2.0          | 0.03           
37    | 54.199.250.14    | 10         | 10         | 2.0          | 0.03           
38    | 56.124.94.82     | 10         | 9          | 2.0          | 0.03           
39    | 35.72.5.83       | 10         | 10         | 2.0          | 0.03           
40    | 18.170.102.99    | 10         | 10         | 2.0          | 0.03           
41    | 98.80.202.203    | 10         | 10         | 2.0          | 0.03           
42    | 52.197.73.99     | 10         | 10         | 2.0          | 0.03           
43    | 3.215.174.130    | 10         | 9          | 2.0          | 0.03           
44    | 54.233.247.110   | 10         | 10         | 2.0          | 0.03           
45    | 54.238.130.153   | 10         | 10         | 2.0          | 0.03           
46    | 13.43.109.206    | 10         | 10         | 2.0          | 0.03           
47    | 44.223.7.90      | 10         | 10         | 2.0          | 0.03           
48    | 98.92.136.16     | 10         | 10         | 2.0          | 0.03           
49    | 35.179.185.108   | 10         | 10         | 2.0          | 0.03           
50    | 54.233.52.58     | 10         | 9          | 2.0          | 0.03           
51    | 54.233.71.60     | 10         | 10         | 2.0          | 0.03           
52    | 13.41.247.194    | 10         | 10         | 2.0          | 0.03           
53    | 54.233.160.82    | 10         | 10         | 2.0          | 0.03           
54    | 43.207.3.46      | 10         | 9          | 2.0          | 0.03           
55    | 3.236.188.63     | 10         | 10         | 2.0          | 0.03           
56    | 100.48.191.222   | 10         | 10         | 2.0          | 0.03           
57    | 18.177.137.52    | 10         | 10         | 2.0          | 0.03           
58    | 18.228.118.21    | 10         | 10         | 2.0          | 0.03           
59    | 18.133.27.132    | 10         | 10         | 2.0          | 0.03           
60    | 13.112.161.107   | 10         | 10         | 2.0          | 0.03           
61    | 35.179.12.149    | 10         | 10         | 2.0          | 0.03           
62    | 56.125.145.117   | 10         | 10         | 2.0          | 0.03           
63    | 100.48.212.154   | 10         | 9          | 2.0          | 0.03           
----------------------------------------------------------------------------------------------------
