
================================================================================
 PYTHON LIST FORMAT
================================================================================
download_blocks = [
    0.11, 0.23, 0.16, 0.17, 0.07, 0.18, 0.12, 0.13, 0.12, 0.10, 0.09, 0.14, 0.17, 0.13, 0.10, 0.21, 0.22, 0.17, 0.17, 0.14, 0.10, 0.10, 0.21, 0.10, 0.13, 0.12, 0.12, 0.24, 0.14, 0.10, 0.17, 0.24, 0.10, 0.24, 0.13, 0.18, 0.22, 0.11, 0.14, 0.18, 0.09, 0.11, 0.14, 0.23, 0.21, 0.10, 0.15, 0.21, 0.12, 0.10, 0.10, 0.11, 0.15, 0.24, 0.22, 0.23, 0.11, 0.12, 0.18, 0.23, 0.17, 0.22, 0.16, 0.17
]

====================================================================================================
 READABLE SUMMARY TABLE (Sorted by Node ID)
====================================================================================================
ID    | Node IP          | Bandwidth  | Runs (Rx)  | Avg Blocks   | Avg T-put (A/s)
----------------------------------------------------------------------------------------------------
0     | 18.230.76.91     | 90         | 10         | 6.4          | 0.11           
1     | 13.114.61.185    | 90         | 10         | 13.7         | 0.23           
2     | 35.179.12.149    | 90         | 10         | 9.8          | 0.16           
3     | 13.43.109.206    | 90         | 10         | 10.3         | 0.17           
4     | 56.124.94.82     | 90         | 9          | 4.0          | 0.07           
5     | 35.179.185.108   | 90         | 10         | 10.6         | 0.18           
6     | 35.171.203.150   | 90         | 10         | 7.6          | 0.12           
7     | 54.147.89.91     | 90         | 10         | 7.5          | 0.13           
8     | 44.223.7.90      | 90         | 10         | 7.1          | 0.12           
9     | 54.233.71.60     | 90         | 10         | 5.8          | 0.10           
10    | 56.125.145.117   | 90         | 10         | 5.4          | 0.09           
11    | 18.175.250.35    | 90         | 9          | 8.6          | 0.14           
12    | 3.10.228.203     | 90         | 10         | 10.0         | 0.17           
13    | 44.200.197.12    | 90         | 10         | 8.0          | 0.13           
14    | 52.67.138.154    | 90         | 10         | 6.1          | 0.10           
15    | 52.193.99.38     | 90         | 9          | 12.3         | 0.21           
16    | 18.183.217.104   | 90         | 10         | 13.4         | 0.22           
17    | 35.179.116.19    | 90         | 10         | 10.4         | 0.17           
18    | 18.170.102.99    | 90         | 10         | 10.2         | 0.17           
19    | 44.203.205.216   | 90         | 10         | 8.1          | 0.14           
20    | 100.48.191.222   | 90         | 9          | 5.8          | 0.10           
21    | 54.233.247.110   | 90         | 10         | 5.9          | 0.10           
22    | 54.199.250.14    | 90         | 9          | 12.6         | 0.21           
23    | 18.230.151.126   | 90         | 10         | 6.0          | 0.10           
24    | 3.219.234.162    | 90         | 10         | 7.8          | 0.13           
25    | 3.215.174.130    | 90         | 10         | 7.2          | 0.12           
26    | 98.92.136.16     | 90         | 10         | 7.5          | 0.12           
27    | 43.207.3.46      | 90         | 10         | 14.4         | 0.24           
28    | 100.48.212.154   | 90         | 10         | 8.2          | 0.14           
29    | 54.233.160.82    | 90         | 10         | 6.3          | 0.10           
30    | 3.8.197.92       | 90         | 10         | 10.0         | 0.17           
31    | 54.238.130.153   | 90         | 10         | 14.1         | 0.24           
32    | 18.230.26.43     | 90         | 10         | 6.1          | 0.10           
33    | 18.183.75.132    | 90         | 10         | 14.3         | 0.24           
34    | 3.235.51.165     | 90         | 10         | 8.1          | 0.13           
35    | 18.130.179.86    | 90         | 10         | 11.0         | 0.18           
36    | 54.238.241.114   | 90         | 10         | 13.4         | 0.22           
37    | 98.80.202.203    | 90         | 10         | 6.9          | 0.11           
38    | 3.236.188.63     | 90         | 10         | 8.2          | 0.14           
39    | 13.42.9.217      | 90         | 10         | 10.7         | 0.18           
40    | 18.231.198.163   | 90         | 10         | 5.3          | 0.09           
41    | 54.233.52.58     | 90         | 10         | 6.4          | 0.11           
42    | 34.234.207.126   | 90         | 10         | 8.3          | 0.14           
43    | 54.250.159.132   | 90         | 10         | 14.0         | 0.23           
44    | 18.177.137.52    | 90         | 9          | 12.8         | 0.21           
45    | 18.231.110.223   | 90         | 10         | 6.1          | 0.10           
46    | 3.8.163.92       | 90         | 9          | 8.8          | 0.15           
47    | 35.72.5.83       | 90         | 9          | 12.4         | 0.21           
48    | 18.215.189.60    | 90         | 10         | 7.0          | 0.12           
49    | 18.228.118.21    | 90         | 10         | 6.2          | 0.10           
50    | 18.231.36.32     | 90         | 10         | 6.1          | 0.10           
51    | 52.67.178.30     | 90         | 10         | 6.5          | 0.11           
52    | 18.133.27.132    | 90         | 9          | 8.7          | 0.15           
53    | 13.112.161.107   | 90         | 10         | 14.3         | 0.24           
54    | 52.197.73.99     | 90         | 10         | 13.4         | 0.22           
55    | 54.238.213.110   | 90         | 10         | 14.1         | 0.23           
56    | 15.228.100.151   | 90         | 10         | 6.3          | 0.11           
57    | 13.220.129.254   | 90         | 10         | 7.5          | 0.12           
58    | 3.8.151.11       | 90         | 10         | 10.8         | 0.18           
59    | 54.248.46.168    | 90         | 10         | 13.9         | 0.23           
60    | 52.56.166.65     | 90         | 10         | 10.4         | 0.17           
61    | 57.180.247.226   | 90         | 9          | 13.0         | 0.22           
62    | 13.42.14.129     | 90         | 10         | 9.9          | 0.16           
63    | 13.41.247.194    | 90         | 10         | 10.3         | 0.17           
----------------------------------------------------------------------------------------------------
