
================================================================================
 PYTHON LIST FORMAT
================================================================================
download_blocks = [
    0.10, 0.12, 0.22, 0.13, 0.12, 0.09, 0.11, 0.11, 0.21, 0.08, 0.13, 0.13, 0.12, 0.10, 0.10, 0.22, 0.23, 0.10, 0.12, 0.22, 0.23, 0.22, 0.12, 0.22, 0.13, 0.11, 0.10, 0.11, 0.13, 0.12, 0.10, 0.12, 0.14, 0.12, 0.21, 0.12, 0.11, 0.22, 0.14, 0.11, 0.10, 0.14, 0.12, 0.22, 0.15, 0.09, 0.11, 0.22, 0.13, 0.21, 0.14, 0.13, 0.12, 0.12, 0.12, 0.22, 0.11, 0.11, 0.22, 0.13, 0.22, 0.13, 0.11, 0.12
]

====================================================================================================
 READABLE SUMMARY TABLE (Sorted by Node ID)
====================================================================================================
ID    | Node IP          | Bandwidth  | Runs (Rx)  | Avg Blocks   | Avg T-put (A/s)
----------------------------------------------------------------------------------------------------
0     | 18.228.118.21    | 70         | 10         | 6.1          | 0.10           
1     | 54.238.130.153   | 70         | 10         | 7.0          | 0.12           
2     | 3.215.174.130    | 70         | 10         | 13.3         | 0.22           
3     | 18.175.250.35    | 70         | 10         | 7.8          | 0.13           
4     | 3.8.197.92       | 70         | 10         | 7.0          | 0.12           
5     | 54.233.160.82    | 70         | 10         | 5.6          | 0.09           
6     | 52.193.99.38     | 70         | 10         | 6.5          | 0.11           
7     | 18.231.110.223   | 70         | 10         | 6.8          | 0.11           
8     | 44.223.7.90      | 70         | 9          | 12.4         | 0.21           
9     | 15.228.100.151   | 70         | 9          | 5.0          | 0.08           
10    | 18.183.75.132    | 70         | 10         | 7.7          | 0.13           
11    | 3.8.163.92       | 70         | 10         | 8.1          | 0.13           
12    | 43.207.3.46      | 70         | 10         | 7.4          | 0.12           
13    | 13.42.9.217      | 70         | 9          | 5.9          | 0.10           
14    | 54.233.52.58     | 70         | 10         | 6.2          | 0.10           
15    | 3.235.51.165     | 70         | 9          | 13.3         | 0.22           
16    | 98.92.136.16     | 70         | 10         | 13.9         | 0.23           
17    | 18.230.26.43     | 70         | 10         | 6.3          | 0.10           
18    | 13.112.161.107   | 70         | 10         | 7.0          | 0.12           
19    | 44.203.205.216   | 70         | 9          | 13.2         | 0.22           
20    | 13.220.129.254   | 70         | 10         | 13.9         | 0.23           
21    | 100.48.212.154   | 70         | 10         | 13.2         | 0.22           
22    | 35.72.5.83       | 70         | 10         | 7.2          | 0.12           
23    | 3.236.188.63     | 70         | 9          | 13.2         | 0.22           
24    | 3.10.228.203     | 70         | 10         | 7.8          | 0.13           
25    | 18.230.151.126   | 70         | 10         | 6.7          | 0.11           
26    | 56.124.94.82     | 70         | 10         | 6.3          | 0.10           
27    | 56.125.145.117   | 70         | 10         | 6.7          | 0.11           
28    | 13.114.61.185    | 70         | 10         | 7.5          | 0.13           
29    | 18.133.27.132    | 70         | 10         | 7.6          | 0.12           
30    | 52.67.138.154    | 70         | 10         | 6.0          | 0.10           
31    | 54.233.247.110   | 70         | 10         | 6.9          | 0.12           
32    | 52.56.166.65     | 70         | 10         | 8.7          | 0.14           
33    | 13.41.247.194    | 70         | 10         | 7.4          | 0.12           
34    | 54.147.89.91     | 70         | 10         | 12.7         | 0.21           
35    | 54.199.250.14    | 70         | 10         | 7.0          | 0.12           
36    | 52.67.178.30     | 70         | 10         | 6.5          | 0.11           
37    | 34.234.207.126   | 70         | 10         | 13.3         | 0.22           
38    | 35.179.185.108   | 70         | 10         | 8.4          | 0.14           
39    | 18.177.137.52    | 70         | 10         | 6.7          | 0.11           
40    | 52.197.73.99     | 70         | 9          | 5.9          | 0.10           
41    | 35.179.12.149    | 70         | 10         | 8.1          | 0.14           
42    | 54.248.46.168    | 70         | 10         | 7.1          | 0.12           
43    | 18.215.189.60    | 70         | 10         | 13.1         | 0.22           
44    | 35.179.116.19    | 70         | 10         | 8.9          | 0.15           
45    | 54.238.241.114   | 70         | 9          | 5.4          | 0.09           
46    | 18.170.102.99    | 70         | 10         | 6.9          | 0.11           
47    | 35.171.203.150   | 70         | 10         | 13.5         | 0.22           
48    | 18.183.217.104   | 70         | 10         | 7.7          | 0.13           
49    | 98.80.202.203    | 70         | 9          | 12.7         | 0.21           
50    | 18.130.179.86    | 70         | 10         | 8.6          | 0.14           
51    | 13.43.109.206    | 70         | 10         | 7.5          | 0.13           
52    | 54.238.213.110   | 70         | 10         | 7.1          | 0.12           
53    | 18.231.36.32     | 70         | 10         | 7.3          | 0.12           
54    | 54.250.159.132   | 70         | 10         | 7.0          | 0.12           
55    | 44.200.197.12    | 70         | 9          | 13.2         | 0.22           
56    | 18.231.198.163   | 70         | 10         | 6.5          | 0.11           
57    | 18.230.76.91     | 70         | 10         | 6.5          | 0.11           
58    | 3.219.234.162    | 70         | 10         | 13.1         | 0.22           
59    | 13.42.14.129     | 70         | 10         | 7.8          | 0.13           
60    | 100.48.191.222   | 70         | 10         | 13.3         | 0.22           
61    | 3.8.151.11       | 70         | 10         | 8.0          | 0.13           
62    | 54.233.71.60     | 70         | 10         | 6.3          | 0.11           
63    | 57.180.247.226   | 70         | 10         | 7.2          | 0.12           
----------------------------------------------------------------------------------------------------
