
================================================================================
 PYTHON LIST FORMAT
================================================================================
download_blocks = [
    0.11, 0.11, 0.09, 0.11, 0.11, 0.11, 0.11, 0.11, 0.12, 0.11, 0.09, 0.12, 0.11, 0.11, 0.09, 0.10, 0.11, 0.11, 0.10, 0.09, 0.11, 0.09, 0.09, 0.11, 0.10, 0.11, 0.11, 0.10, 0.09, 0.09, 0.10, 0.11, 0.11, 0.09, 0.12, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.09, 0.12, 0.10, 0.10, 0.11, 0.10, 0.12, 0.11, 0.11, 0.09, 0.10, 0.09, 0.11, 0.12, 0.09, 0.10, 0.11, 0.10, 0.10, 0.12, 0.10, 0.09, 0.11
]

====================================================================================================
 READABLE SUMMARY TABLE (Sorted by Node ID)
====================================================================================================
ID    | Node IP          | Bandwidth  | Runs (Rx)  | Avg Blocks   | Avg T-put (A/s)
----------------------------------------------------------------------------------------------------
0     | 13.42.9.217      | 30         | 10         | 6.9          | 0.11           
1     | 3.236.188.63     | 30         | 10         | 6.6          | 0.11           
2     | 54.199.250.14    | 30         | 10         | 5.7          | 0.09           
3     | 13.42.14.129     | 30         | 10         | 6.6          | 0.11           
4     | 52.67.178.30     | 30         | 10         | 6.5          | 0.11           
5     | 35.179.185.108   | 30         | 10         | 6.8          | 0.11           
6     | 18.130.179.86    | 30         | 10         | 6.7          | 0.11           
7     | 3.8.151.11       | 30         | 9          | 6.8          | 0.11           
8     | 3.235.51.165     | 30         | 10         | 6.9          | 0.12           
9     | 13.41.247.194    | 30         | 10         | 6.8          | 0.11           
10    | 13.114.61.185    | 30         | 10         | 5.6          | 0.09           
11    | 35.171.203.150   | 30         | 10         | 6.9          | 0.12           
12    | 100.48.191.222   | 30         | 10         | 6.5          | 0.11           
13    | 35.179.116.19    | 30         | 10         | 6.9          | 0.11           
14    | 43.207.3.46      | 30         | 10         | 5.6          | 0.09           
15    | 18.228.118.21    | 30         | 9          | 6.1          | 0.10           
16    | 44.223.7.90      | 30         | 10         | 6.6          | 0.11           
17    | 13.220.129.254   | 30         | 9          | 6.7          | 0.11           
18    | 18.231.110.223   | 30         | 9          | 5.9          | 0.10           
19    | 13.112.161.107   | 30         | 10         | 5.5          | 0.09           
20    | 3.8.163.92       | 30         | 9          | 6.7          | 0.11           
21    | 57.180.247.226   | 30         | 10         | 5.6          | 0.09           
22    | 18.177.137.52    | 30         | 10         | 5.4          | 0.09           
23    | 13.43.109.206    | 30         | 10         | 6.8          | 0.11           
24    | 54.238.130.153   | 30         | 10         | 5.8          | 0.10           
25    | 44.203.205.216   | 30         | 10         | 6.7          | 0.11           
26    | 15.228.100.151   | 30         | 10         | 6.5          | 0.11           
27    | 18.230.76.91     | 30         | 10         | 6.3          | 0.10           
28    | 18.183.75.132    | 30         | 10         | 5.7          | 0.09           
29    | 54.238.241.114   | 30         | 10         | 5.7          | 0.09           
30    | 56.124.94.82     | 30         | 10         | 6.3          | 0.10           
31    | 54.233.247.110   | 30         | 10         | 6.4          | 0.11           
32    | 18.175.250.35    | 30         | 10         | 6.8          | 0.11           
33    | 54.248.46.168    | 30         | 9          | 5.3          | 0.09           
34    | 44.200.197.12    | 30         | 10         | 6.8          | 0.12           
35    | 18.133.27.132    | 30         | 10         | 6.5          | 0.11           
36    | 52.56.166.65     | 30         | 9          | 6.7          | 0.11           
37    | 35.179.12.149    | 30         | 10         | 6.8          | 0.11           
38    | 3.219.234.162    | 30         | 10         | 6.5          | 0.11           
39    | 18.215.189.60    | 30         | 10         | 6.7          | 0.11           
40    | 3.10.228.203     | 30         | 9          | 6.6          | 0.11           
41    | 54.238.213.110   | 30         | 10         | 5.6          | 0.09           
42    | 54.147.89.91     | 30         | 10         | 6.8          | 0.12           
43    | 54.233.71.60     | 30         | 10         | 6.1          | 0.10           
44    | 18.230.151.126   | 30         | 10         | 6.3          | 0.10           
45    | 98.92.136.16     | 30         | 10         | 6.7          | 0.11           
46    | 56.125.145.117   | 30         | 10         | 6.2          | 0.10           
47    | 98.80.202.203    | 30         | 10         | 6.9          | 0.12           
48    | 18.170.102.99    | 30         | 10         | 6.8          | 0.11           
49    | 3.8.197.92       | 30         | 9          | 6.7          | 0.11           
50    | 54.250.159.132   | 30         | 10         | 5.5          | 0.09           
51    | 35.72.5.83       | 30         | 10         | 5.8          | 0.10           
52    | 18.183.217.104   | 30         | 10         | 5.7          | 0.09           
53    | 52.67.138.154    | 30         | 10         | 6.4          | 0.11           
54    | 34.234.207.126   | 30         | 10         | 6.8          | 0.12           
55    | 52.193.99.38     | 30         | 10         | 5.5          | 0.09           
56    | 18.230.26.43     | 30         | 10         | 6.2          | 0.10           
57    | 54.233.160.82    | 30         | 10         | 6.5          | 0.11           
58    | 18.231.36.32     | 30         | 10         | 6.2          | 0.10           
59    | 18.231.198.163   | 30         | 9          | 5.9          | 0.10           
60    | 100.48.212.154   | 30         | 10         | 6.9          | 0.12           
61    | 54.233.52.58     | 30         | 10         | 6.1          | 0.10           
62    | 52.197.73.99     | 30         | 10         | 5.5          | 0.09           
63    | 3.215.174.130    | 30         | 10         | 6.6          | 0.11           
----------------------------------------------------------------------------------------------------
